Race,Driver,Team,Grid Pos,Avg Lap Time,Tire Strategy,Result Pos
2024 Silverstone,44,Mercedes,2,95.13575,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",1
2024 Silverstone,1,Red Bull Racing,4,95.163923,"['MEDIUM', 'INTERMEDIATE', 'HARD']",2
2024 Silverstone,4,McLaren,3,95.280884,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",3
2024 Silverstone,81,McLaren,5,95.374769,"['MEDIUM', 'INTERMEDIATE']",4
2024 Silverstone,55,Ferrari,7,96.045711,"['MEDIUM', 'INTERMEDIATE', 'HARD', 'SOFT']",5
2024 Silverstone,27,Haas F1 Team,6,96.207326,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",6
2024 Silverstone,18,Aston Martin,8,96.223615,"['MEDIUM', 'INTERMEDIATE']",7
2024 Silverstone,14,Aston Martin,10,96.358384,"['MEDIUM', 'INTERMEDIATE']",8
2024 Silverstone,23,Williams,9,96.450884,"['MEDIUM', 'INTERMEDIATE']",9
2024 Silverstone,22,RB,13,96.660807,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",10
2024 Silverstone,2,Williams,12,96.846519,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",11
2024 Silverstone,20,Haas F1 Team,17,96.869461,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",12
2024 Silverstone,3,RB,15,97.196,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",13
2024 Silverstone,16,Ferrari,11,97.794745,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",14
2024 Silverstone,77,Kick Sauber,16,97.821176,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",15
2024 Silverstone,31,Alpine,18,99.15482,"['SOFT', 'INTERMEDIATE', 'MEDIUM']",16
2024 Silverstone,11,Red Bull Racing,20,99.30128,"['HARD', 'INTERMEDIATE', 'MEDIUM', 'SOFT']",17
2024 Silverstone,24,Kick Sauber,14,100.0307,"['SOFT', 'MEDIUM', 'INTERMEDIATE']",18
2024 Silverstone,63,Mercedes,1,96.111424,"['MEDIUM', 'INTERMEDIATE']",
2024 Silverstone,10,Alpine,19,,['MEDIUM'],