id,Country, Circuit, Length (km), Length (miles), Location alternative name, Laps
1,Australia, Albert Park Circuit, 5.278, 3.280, Australia, 58
2,Bahrain, Bahrain International Circuit, 5.412, 3.363, Bahrain, 57
3,Canada, Circuit Gilles Villeneuve, 4.361, 2.710, Montreal, 70
4,Italy, Autodromo Nazionale Monza, 5.793, 3.600, Monza, 53
5,Japan, Suzuka International Racing Course, 5.807, 3.608, Japan, 53
6,Netherlands, Circuit Zandvoort, 4.259, 2.652, Netherlands, 72
7,Singapore, Marina Bay Street Circuit, 5.063, 3.147, Singapore, 61
8,Spain, Circuit de Barcelona-Catalunya, 4.675, 2.904, Spain, 66
9,United Kingdom, Silverstone Circuit, 5.891, 3.660, Great Britain, 52
10,United States, Circuit of the Americas, 5.513, 3.426, United States, 56
11,Austria, Red Bull Ring, 4.318, 2.683, Austria, 71
12,Belgium, Circuit de Spa-Francorchamps, 7.004, 4.349, Belgium, 44
13,Brazil, Autódromo José Carlos Pace, 4.309, 2.677, Brazil, 71
14,Hungary, Hungaroring, 4.381, 2.722, Hungary, 70
15,Mexico, Autódromo Hermanos Rodríguez, 4.304, 2.674, Mexico, 71
16,Monaco, Circuit de Monaco, 3.337, 2.074, Monaco, 78
17,Saudi Arabia, Jeddah Corniche Circuit, 6.174, 3.836, Saudi Arabia, 50
18,United Arab Emirates, Yas Marina Circuit, 5.554, 3.451, Abu Dhabi, 55
19,China, Shanghai International Circuit, 5.451, 3.387, Shanghai, 56
20,Italy, Imola Circuit, 4.909, 3.048, Imola, 63
21,Azerbaijan, Baku City Circuit, 6.003, 3.730, Baku, 51
22,United States, Miami International Autodrome, 5.412, 3.363, Miami, 57
23,United States, Las Vegas Grand Prix Circuit, 3.836, 2.384, Las Vegas, 50